base	base.harmony	change	derivative	derivative.harmony	harmony.sum	probability	e . .?$	o . .?$	r r$	e . .?$	o . .?$	r r$
n o r r	-11.091	Mutate the segment(s) at last nucleus to [+high], Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	n u r r	-4.829	-15.919999999999998	1.2173050312000293e-7	0	1	1	0	0	1
n o r r	-11.171	Mutate the segment(s) at last nucleus to [+high]	n u r r	-4.829	-16	1.123714172839441e-7	0	1	1	0	0	1
n o r r	-11.092	Mutate the segment(s) at 3 to [-low,+front,+tense], Mutate the segment(s) at 5 to [-voice]	n o r r	-11.01	-22.102	2.5153065970275984e-10	0	1	1	0	1	1
n o r r	-11.091	Mutate the segment(s) at -4 to [+syllabic,-labial,-glide]	n o r r	-11.091	-22.182	2.3219206358903222e-10	0	1	1	0	1	1
n o r r	-11.091	Mutate the segment(s) at -4 to [-high,+glide]	n o r r	-11.091	-22.182	2.3219206358903222e-10	0	1	1	0	1	1
n o r r	-11.091	Mutate the segment(s) at -2 to [-continuant,-delayed_release,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	n o r r	-11.091	-22.182	2.3219206358903222e-10	0	1	1	0	1	1
n o r r	-11.17	Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice]	n o r r	-11.17	-22.34	1.9825714287030644e-10	0	1	1	0	1	1
n o r r	-11.17	Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	n o r r	-11.17	-22.34	1.9825714287030644e-10	0	1	1	0	1	1
n o r r	-11.091	Delete 4 segments at 13,15,17,19	n o r r	-11.329	-22.42	1.8301440937149077e-10	0	1	1	0	1	1
g e C	0	Mutate the segment(s) at last nucleus to [+high], Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	g i g	0	0	0.05814637706031729	0	0	0	0	0	0
g e C	0	Mutate the segment(s) at last nucleus to [+glide]	g y C	0	0	0.05814637706031729	0	0	0	0	0	0
g e C	0	Insert [g] at -1, Mutate the segment(s) at -2 to [-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	g e C g	0	0	0.05814637706031729	0	0	0	1	0	0
g e C	0	Mutate the segment(s) at last nucleus to [+high]	g i C	0	0	0.05814637706031729	0	0	0	0	0	0
g e C	0	Delete 4 segments at 13,15,17,19	g e C	0	0	0.05814637706031729	0	0	0	0	0	0
g e C	0	Mutate the segment(s) at -2 to [-continuant,-delayed_release,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	g e k	0	0	0.05814637706031729	0	0	0	0	0	0
g e C	0	Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	g e C	0	0	0.05814637706031729	0	0	0	0	0	0
g e C	0	Insert [i g] at -1	g e C i g	0	0	0.05814637706031729	0	0	0	0	0	0
g e C	0	Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice]	g e C	0	0	0.05814637706031729	0	0	0	0	0	0
g e C	0	Insert [k] at -1	g e C k	0	0	0.05814637706031729	0	0	0	1	0	0
g e C	0	Delete 1 segment at 5, Mutate the segment(s) at 3 to [-low,+front,+tense]	g e	0	0	0.05814637706031729	0	0	0	0	0	0
g e C	0	Mutate the segment(s) at -4 to [+syllabic,-labial,-glide]	g e C	0	0	0.05814637706031729	0	0	0	0	0	0
g e C	0	Insert [e] at -1	g e C e	0	0	0.05814637706031729	0	0	0	1	0	0
g e C	0	Insert [w] at -1	g e C w	0	0	0.05814637706031729	0	0	0	1	0	0
g e C	0	Mutate the segment(s) at -4 to [-high,+glide]	g y C	0	0	0.05814637706031729	0	0	0	0	0	0
g e C	0	Insert [o j] at -1	g e C o j	0	0	0.05814637706031729	0	0	0	0	0	0
g e C	0	Mutate the segment(s) at 3 to [-low,+front,+tense], Mutate the segment(s) at 5 to [-voice]	g e C	0	0	0.05814637706031729	0	0	0	0	0	0
g e C	0	Insert [j] at -1, Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	g e C j	-1.623	-1.623	0.01147262282970473	0	0	0	1	0	0
g e C	0	Insert [g] at -1	g e C g	-7.308	-7.308	0.00003896714490157927	0	0	0	1	0	0
b o t r	0	Mutate the segment(s) at last nucleus to [+glide]	b q t r	0	0	0.8794839221638444	0	1	0	0	0	0
